bn:00032645n	[instalación, local, servicio, artista_de_instalaciones, instalaciones_de_arte, instalación_de_arte]	334
bn:00082426v	[afectar, conmover, impactar, repercutir, tocar]	332
bn:00045800n	[idea, pensamiento, ideas]	331
bn:00106954a	[más, mayor_parte]	331
bn:00116501r	[]	329
bn:00115274r	[demasiado, excesivamente, demasiadamente]	328
bn:00102277a	[total, completo, entero, pleno, todo]	327
bn:00087617v	[sobrevivir, perdurar, vivir, durar, persistir, aguantar]	326
bn:00032654n	[hecho, evidencia, prueba]	326
bn:00083141v	[establecer, basar, fundar, fundamentar, implantar, instaurar, instituir, sustentar]	325
bn:00086557v	[mostrar, presentar, demostrar, revelar, evidenciar, exhibir, manifestar, obsequiar, indicar]	323
bn:00071103n	[barco, buque, bajel, embarcación, nave, navio, navío, barcos_mayores, buques, enviar]	323
bn:00085614v	[casarse, casar, contraer_nupcias, desposar, enlazarse, llevar_al_altar, matrimoniarse, unirse_en_matrimonio]	322
bn:00078393n	[tropa]	322
bn:00031722n	[grupo_étnico, etnia, etnias, grupos_étnicos, pueblo, tribu, étnica, étnico, etnica, etnicidad, etnico, grupo_etnico, grupos_etnicos, étnicos, ethnos, grupo_cultural, identidad_étnica, étnicamente]	321
bn:00095375v	[entender, coger, comprender]	319
bn:00082846v	[congregarse, reunirse, amontonarse, armar, citar, coincidir, concentrar, congregar, juntar, juntarse, reunir, agruparse]	316
bn:00082233v	[describir, informar, dar_parte, denunciar, relatar, reportar, señalar]	315
bn:00087517v	[designar, elegir]	314
bn:00085710v	[abordar, arreglárselas, conformarse, contender, encarar, grapar, industriarse, ingeniarse, soportar, tramitar, tratar, hacer_frente]	314
bn:00092823v	[informar, relatar]	314
bn:00102336a	[igual]	313
bn:00063330n	[política, política_organizacional, politica_organizacional, formulación_de_políticas, políticas, responsables_políticos]	313
bn:00001082n	[terrorismo, terroristas, banda_terrorista, definicion_de_terrorismo, definición_de_terrorismo, delito_de_terrorismo, grupo_terrorista, grupos_terroristas, organizacion_terrorista, organización_terrorista, terrorist, terrorista, acto_terrorista, acto_de_terrorismo]	312
bn:00084231v	[encontrar, hallar, dar, encontrarse, tropezar, descubrir]	311
